nazev,delka,sirka,datumdo,vyska,biotop,kodbiotopu,samec,samice,juv,ex
Heloderma horridum,18.67,49.49,9.10.2002,774,bazina,369,30,1,49,4
Haliaetus leucogaster,15.27,48.75,3.2.1929,521,Skalní stepi na vápensových podkladech,215,8,11,16,31
Felis caracal,14.27,48.55,5.1.1934,719,slatiny,217,18,10,49,28
Spermophilus parryii,14.07,50.03,22.1.1984,1119,Skalní stepi na vápensových podkladech,215,47,25,12,3
Rhea americana,12.29,48.53,18.12.1979,728,xerotermni tentononc,310,36,47,42,35
Bugeranus caruncalatus,16.53,48.89,13.7.2015,559,slatiny,217,1,42,49,11
Mycteria ibis,17.87,49.21,10.4.1961,791,lidska obydli,200,8,42,31,37
unavailable,17.89,48.63,24.12.1974,1096,Skalní stepi na vápensových podkladech,215,47,40,30,18
Nyctea scandiaca,18.31,50.29,21.11.1999,1040,les,301,43,15,22,8
Zalophus californicus,16.05,49.79,9.9.2001,777,bazina,369,2,9,26,5
Cordylus giganteus,17.41,51.05,10.10.1902,1068,biotop b,7,41,18,9,10
Macropus giganteus,18.31,49.81,24.2.2002,1041,les,301,2,4,27,26
Vulpes chama,16.97,50.39,6.11.1992,590,louka,202,28,23,36,44
Morelia spilotes variegata,14.21,50.95,4.1.1969,573,slatiny,217,42,25,24,16
Coendou prehensilis,15.97,49.95,19.3.2003,804,doubravy,206,46,28,44,34
Anas bahamensis,13.95,49.95,19.11.1974,635,biotop a,326,23,4,11,42
Pycnonotus nigricans,18.89,48.61,4.7.1992,1173,mocaly,207,5,21,23,45
Boa constrictor mexicana,13.19,49.21,12.6.1902,546,Skalní stepi na vápensových podkladech,215,35,28,20,4
Corvus brachyrhynchos,13.95,49.75,26.6.1953,579,louka,202,10,7,41,15
Raphicerus campestris,12.17,50.17,19.12.1914,1032,mocaly,207,29,48,23,19
Chionis alba,14.73,50.97,11.2.1964,985,lidska obydli,200,38,12,16,24
Milvago chimachima,13.47,49.15,29.2.1960,694,nahodny biotop,24,6,11,16,9
Felis libyca,17.21,49.07,4.5.1956,1005,slatiny,217,3,8,25,33
Kobus defassa,15.31,49.75,28.12.1970,933,suťové lesy,327,18,30,21,7
Uraeginthus angolensis,13.31,51.11,25.7.1940,881,doubravy,206,40,44,40,49
Thalasseus maximus,12.61,50.97,29.3.1991,757,skály nižších a středních výšek,308,1,9,23,24
Physignathus cocincinus,13.61,51.13,20.4.2017,1103,doubravy,206,25,29,13,10
Oreamnos americanus,13.63,48.61,13.12.1970,1110,mocaly,207,5,35,17,44
Larus dominicanus,17.77,50.55,9.5.1995,1148,suťové lesy,327,8,1,12,39
Lasiorhinus latifrons,15.87,49.21,2.7.1943,1189,biotop b,7,7,31,39,3
Ciconia episcopus,12.11,49.75,19.11.1942,1117,lidska obydli,200,14,42,4,2
Phalacrocorax varius,13.61,49.83,31.8.1993,1089,slatiny,217,6,31,31,11
Phalacrocorax niger,13.07,50.11,20.1.2009,1088,lidska obydli,200,0,49,29,44
Psophia viridis,17.85,50.51,2.2.1932,1178,biotop a,326,43,4,41,38
Centrocercus urophasianus,15.33,50.13,17.8.2020,832,bazina,369,11,16,47,41
Milvago chimachima,18.23,50.01,24.5.2003,1065,louka,202,31,29,19,44
Podargus strigoides,12.43,50.01,24.11.1908,1091,biotop b,7,15,22,48,25
Canis latrans,16.43,48.65,14.3.2013,922,xerotermni tentononc,310,13,33,20,17
Pseudocheirus peregrinus,18.55,50.87,12.7.1901,829,louka,202,18,23,30,20
Isoodon obesulus,16.85,49.07,8.10.1959,1069,biotop b,7,32,36,41,3
Ursus arctos,14.71,49.17,4.4.1907,669,xerotermni tentononc,310,43,21,7,46
Tamandua tetradactyla,14.47,50.03,20.8.1993,1104,louka,202,14,21,14,19
Thalasseus maximus,16.23,50.81,7.12.1995,786,doubravy,206,45,9,28,16
Ara chloroptera,13.27,51.19,3.12.2013,605,lidska obydli,200,21,47,8,22
Oxybelis sp.,12.29,50.21,2.2.1948,1113,nahodny biotop,24,5,18,24,32
Canis aureus,15.05,50.09,9.10.1930,843,Skalní stepi na vápensových podkladech,215,32,1,40,11
Dendrocitta vagabunda,17.45,48.63,19.3.1953,751,nahodny biotop,24,6,10,38,21
Dasyurus viverrinus,14.49,50.57,16.3.1960,519,nahodny biotop,24,50,47,14,39
Tamiasciurus hudsonicus,15.01,49.93,31.1.1968,702,Skalní stepi na vápensových podkladech,215,47,12,23,13
Bucephala clangula,12.61,48.55,1.12.1995,867,biotop a,326,28,0,9,49
Smithopsis crassicaudata,13.29,49.51,14.12.2010,641,bazina,369,6,10,4,49
Lybius torquatus,17.03,48.53,27.10.1985,1027,suťové lesy,327,49,3,39,32
Cebus albifrons,16.23,48.57,9.7.1958,941,suťové lesy,327,1,35,10,1
Phoenicopterus chilensis,12.83,51.09,10.6.2014,1104,skály nižších a středních výšek,308,42,19,11,21
Leptoptilus dubius,17.47,50.51,22.12.2002,1045,suťové lesy,327,26,16,28,25
Pteronura brasiliensis,17.67,50.91,28.3.1980,702,nahodny biotop,24,31,48,16,38
Cebus nigrivittatus,13.51,48.49,5.8.1969,819,Skalní stepi na vápensových podkladech,215,5,16,23,12
Tockus flavirostris,16.31,50.93,19.1.2018,914,suťové lesy,327,39,33,45,6
Cervus duvauceli,15.83,49.87,25.7.1957,786,lidska obydli,200,37,18,4,50
Ciconia ciconia,16.59,48.59,24.3.1904,1116,skály nižších a středních výšek,308,18,23,23,41
Macaca fuscata,16.31,48.75,28.6.1976,877,biotop b,7,17,43,22,32
Dendrocitta vagabunda,17.75,49.37,24.10.1931,806,mocaly,207,42,5,31,30
Mephitis mephitis,15.45,51.09,12.3.1906,932,xerotermni tentononc,310,18,22,44,38
Axis axis,18.43,49.63,28.2.1904,933,skály nižších a středních výšek,308,47,0,15,21
Felis libyca,16.03,50.87,31.10.1932,679,bazina,369,44,46,9,36
Zenaida galapagoensis,14.87,48.61,27.6.1993,595,biotop b,7,1,12,47,43
Crotalus triseriatus,16.71,49.69,3.5.1978,603,biotop b,7,10,44,48,14
Lutra canadensis,16.23,50.83,24.7.2015,879,slatiny,217,36,29,5,48
Ateles paniscus,16.63,49.13,1.9.1991,998,doubravy,206,2,32,37,40
Uraeginthus granatina,15.79,48.71,9.12.1908,994,slatiny,217,36,30,4,11
Sarcophilus harrisii,12.85,49.79,26.12.2013,1081,Skalní stepi na vápensových podkladech,215,23,31,27,19
Equus hemionus,12.75,48.81,3.11.1980,1030,bazina,369,10,34,10,35
Aegypius occipitalis,13.03,51.01,20.6.1979,903,Skalní stepi na vápensových podkladech,215,23,38,10,27
Marmota monax,12.25,49.31,28.3.1912,683,nahodny biotop,24,45,16,29,20
Bubalornis niger,17.99,49.91,12.3.2003,1135,mocaly,207,1,31,34,27
Meles meles,15.65,49.57,14.12.2018,792,les,301,29,27,27,35
Merops bullockoides,14.69,49.01,24.4.1977,1121,biotop b,7,29,5,48,6
Terrapene carolina,12.65,49.35,20.4.1983,1053,biotop b,7,7,3,27,41
Herpestes javanicus,18.27,49.99,15.9.2009,1093,mocaly,207,41,38,34,50
Vulpes cinereoargenteus,13.01,49.93,21.11.1954,541,lidska obydli,200,36,43,47,15
Stercorarius longicausus,18.53,49.79,14.11.1903,1014,biotop b,7,36,12,27,18
Porphyrio porphyrio,16.21,49.39,19.1.1963,947,nahodny biotop,24,40,38,32,48
Eubalaena australis,13.13,49.33,18.8.1977,1163,xerotermni tentononc,310,13,50,25,31
Anastomus oscitans,17.01,50.93,15.2.1910,821,biotop b,7,17,24,40,16
Meleagris gallopavo,12.91,49.73,10.12.1906,604,louka,202,42,2,17,32
Giraffe camelopardalis,15.27,50.37,24.6.1924,816,biotop a,326,35,37,0,17
Sula dactylatra,12.33,48.65,29.6.1986,691,biotop a,326,13,9,45,18
Vanellus chilensis,17.35,50.95,24.2.2004,669,nahodny biotop,24,42,3,17,15
Ardea golieth,15.97,48.91,25.11.1907,894,biotop a,326,28,10,12,14
Tapirus terrestris,16.37,49.53,1.1.1950,590,slatiny,217,40,32,46,7
Alectura lathami,17.43,50.25,14.9.2003,624,skály nižších a středních výšek,308,12,28,16,30
Merops nubicus,16.73,51.09,6.2.1982,982,biotop a,326,4,20,6,12
Pseudocheirus peregrinus,14.89,49.53,3.10.1905,1185,louka,202,0,2,50,35
Pycnonotus nigricans,18.89,49.27,16.12.2021,884,Skalní stepi na vápensových podkladech,215,10,17,49,22
Gabianus pacificus,18.01,49.93,4.6.1986,1194,biotop a,326,39,44,4,5
Gazella granti,18.55,49.23,9.10.1948,552,louka,202,37,17,30,5
Meles meles,14.99,51.13,29.11.1920,916,skály nižších a středních výšek,308,22,41,2,25
Hydrochoerus hydrochaeris,13.07,49.15,12.4.1969,1083,skály nižších a středních výšek,308,21,33,44,41
Trachyphonus vaillantii,17.17,49.85,29.9.1910,670,doubravy,206,21,4,29,46
Canis lupus,12.33,48.47,12.2.1922,641,biotop a,326,40,13,19,31
Redunca redunca,13.29,49.77,11.12.1988,887,suťové lesy,327,49,18,33,17
Pitangus sulphuratus,14.59,50.95,19.9.1969,546,les,301,10,36,50,37
Echimys chrysurus,18.75,50.83,12.4.2017,1095,biotop a,326,42,5,35,19
Agelaius phoeniceus,13.09,49.85,24.8.1929,824,bazina,369,35,18,0,49
Uraeginthus angolensis,16.53,50.99,14.10.1931,912,lidska obydli,200,5,30,17,47
Anhinga rufa,18.91,50.67,5.8.1968,937,bazina,369,32,22,24,48
Coracias caudata,12.63,49.33,4.5.1983,620,lidska obydli,200,28,22,50,4
Nasua nasua,16.27,48.59,13.2.1993,876,skály nižších a středních výšek,308,12,5,22,11
Equus burchelli,17.75,48.93,21.10.1960,998,mocaly,207,10,10,27,41
Marmota monax,17.59,49.05,24.3.1907,760,skály nižších a středních výšek,308,37,29,49,29
Cracticus nigroagularis,14.49,48.87,1.5.1951,782,Skalní stepi na vápensových podkladech,215,45,14,16,20
Varanus sp.,17.31,50.91,17.8.1988,553,Skalní stepi na vápensových podkladech,215,35,0,1,0
unavailable,18.25,48.75,2.10.1995,901,louka,202,5,22,25,35
Marmota monax,16.79,48.75,25.12.1920,1132,suťové lesy,327,4,45,8,24
Macropus eugenii,15.33,51.01,27.4.1942,1047,mocaly,207,50,10,7,38
Sylvilagus floridanus,18.47,50.87,8.12.1986,519,skály nižších a středních výšek,308,19,50,23,41
Tiliqua scincoides,17.47,49.63,8.1.1917,555,louka,202,49,23,11,4
Lutra canadensis,18.63,50.05,5.3.1914,610,slatiny,217,19,18,46,13
Nasua narica,18.63,51.05,8.10.2017,671,Skalní stepi na vápensových podkladech,215,41,15,15,42
Marmota caligata,14.71,49.51,16.6.1996,697,doubravy,206,14,37,39,43
Taurotagus oryx,15.69,49.17,9.12.1989,889,mocaly,207,40,17,38,31
Echimys chrysurus,18.09,49.55,9.6.1938,836,lidska obydli,200,33,11,39,33
Bubulcus ibis,16.81,49.29,29.9.1984,740,bazina,369,32,30,29,10
unavailable,12.67,50.11,18.3.1922,901,suťové lesy,327,43,29,30,46
Acrantophis madagascariensis,13.77,49.73,10.11.2010,917,Skalní stepi na vápensových podkladech,215,15,16,0,8
Megaderma spasma,16.43,50.47,20.3.2004,820,lidska obydli,200,15,35,49,43
Chionis alba,14.27,49.05,7.5.1980,947,nahodny biotop,24,7,39,3,39
Ephippiorhynchus mycteria,13.81,49.33,16.5.1954,894,nahodny biotop,24,32,44,20,28
Phoca vitulina,17.33,50.05,28.10.1958,608,lidska obydli,200,7,45,46,29
Bison bison,15.11,49.91,25.6.1961,509,slatiny,217,24,38,19,43
Falco peregrinus,18.41,49.07,11.7.1961,1115,doubravy,206,31,46,26,44
Thalasseus maximus,17.41,50.03,27.3.1986,669,suťové lesy,327,14,2,41,18
Hyaena brunnea,15.17,49.59,7.3.1916,825,les,301,16,36,1,7
Tachyglossus aculeatus,13.11,49.47,28.3.1969,1056,nahodny biotop,24,39,31,1,13
unavailable,17.93,48.57,26.1.1990,752,biotop a,326,5,44,2,25
Cyrtodactylus louisiadensis,18.31,51.05,13.11.1977,539,mocaly,207,22,23,8,5
Graspus graspus,18.27,49.15,28.10.1962,1007,biotop b,7,28,29,13,0
Milvus migrans,12.97,50.07,25.12.2003,710,bazina,369,39,24,0,34
Lorythaixoides concolor,15.71,48.99,19.10.1997,742,doubravy,206,2,35,8,24
Erethizon dorsatum,18.21,49.75,2.9.1931,673,nahodny biotop,24,14,10,10,30
Felis concolor,18.01,48.77,9.10.1977,604,biotop a,326,41,29,40,44
Agkistrodon piscivorus,13.93,50.43,30.5.1987,1049,skály nižších a středních výšek,308,49,9,8,38
Eudromia elegans,14.19,49.73,22.4.1961,1051,louka,202,35,39,9,8
Mustela nigripes,15.21,51.03,22.5.1981,503,biotop a,326,6,43,6,11
Canis mesomelas,15.45,49.07,5.3.1904,873,xerotermni tentononc,310,5,15,37,40
Bubo virginianus,15.23,48.69,10.6.1910,1059,lidska obydli,200,7,9,9,26
Upupa epops,16.79,48.87,3.6.1918,1181,doubravy,206,3,8,15,15
Macropus giganteus,18.19,51.17,7.5.2006,505,bazina,369,25,20,4,0
Felis silvestris lybica,15.69,48.99,18.3.1921,681,suťové lesy,327,1,32,18,40
Phalaropus fulicarius,14.17,50.45,25.12.2013,838,doubravy,206,3,33,18,4
Choloepus hoffmani,15.99,48.73,15.2.2010,589,suťové lesy,327,49,49,33,22
Recurvirostra avosetta,13.4,50.3526,11.8.1979,1132,lidska obydli,200,49,1,24,19
Dusicyon thous,14.57,48.73,2.8.1967,1171,lidska obydli,200,16,27,6,32
Carduelis pinus,16.13,51.17,7.5.1977,505,suťové lesy,327,25,7,20,46
Sterna paradisaea,18.15,50.95,15.9.1936,941,biotop a,326,0,15,38,37
Theropithecus gelada,16.17,51.03,31.8.1959,1061,bazina,369,42,18,33,10
Cacatua tenuirostris,15.93,50.85,17.9.1972,924,Skalní stepi na vápensových podkladech,215,35,25,43,26
Hymenolaimus malacorhynchus,13.03,49.19,19.12.1971,1004,xerotermni tentononc,310,47,26,24,10
Kobus defassa,16.55,48.71,1.3.1904,904,suťové lesy,327,18,26,34,38
Zalophus californicus,12.59,50.29,7.5.1990,1177,nahodny biotop,24,22,0,26,26
Paraxerus cepapi,17.45,50.13,1.5.1911,573,lidska obydli,200,38,34,14,2
Acrobates pygmaeus,12.65,50.57,4.7.1905,602,slatiny,217,38,18,50,3
Phalacrocorax niger,14.51,49.79,16.8.1946,921,Skalní stepi na vápensových podkladech,215,33,29,48,36
Tauraco porphyrelophus,16.01,49.51,19.9.2013,1007,suťové lesy,327,3,2,29,4
Climacteris melanura,18.61,50.13,4.2.1950,1054,bazina,369,1,29,48,25
Zosterops pallidus,14.63,50.91,13.5.1991,993,bazina,369,24,26,21,26
Bubo virginianus,12.09,50.07,28.12.1990,1147,louka,202,7,25,1,1
Dendrocygna viduata,15.55,49.59,7.11.1904,1033,mocaly,207,9,30,40,26
Diomedea irrorata,12.05,49.09,11.3.1991,742,biotop a,326,37,2,22,41
Pavo cristatus,14.57,50.81,13.12.2018,560,nahodny biotop,24,35,46,12,8
Vulpes cinereoargenteus,15.37,49.53,19.2.1908,954,nahodny biotop,24,43,14,38,8
Bassariscus astutus,15.43,48.93,4.5.1924,625,biotop b,7,27,21,33,2
Coluber constrictor,13.47,49.89,28.6.1949,518,doubravy,206,6,6,50,16
Sylvilagus floridanus,13.91,49.73,1.11.2006,907,skály nižších a středních výšek,308,40,25,20,30
Eolophus roseicapillus,14.21,50.69,7.4.1913,661,suťové lesy,327,46,43,3,47
Hyaena brunnea,16.97,49.09,12.11.1997,680,biotop b,7,5,10,24,21
Vulpes vulpes,16.43,51.17,10.9.2003,765,suťové lesy,327,20,44,13,5
Ara chloroptera,17.57,50.85,29.7.1922,570,suťové lesy,327,39,8,17,47
Potamochoerus porcus,15.59,48.59,9.12.1991,1153,suťové lesy,327,2,18,39,23
unavailable,17.67,50.65,21.11.1953,691,lidska obydli,200,15,2,27,2
Nasua narica,17.27,49.25,13.11.1972,746,bazina,369,6,45,49,26
Dipodomys deserti,12.47,48.87,26.1.1965,824,lidska obydli,200,8,36,25,20
Ciconia episcopus,14.41,50.41,29.5.1967,1130,slatiny,217,10,2,11,42
Papio ursinus,15.63,48.75,13.7.1972,1154,louka,202,13,31,26,43
Plectopterus gambensis,15.25,49.03,29.9.1962,768,bazina,369,0,43,7,48
Macaca mulatta,13.41,49.19,24.12.1965,1034,biotop b,7,21,44,16,25
Rhea americana,14.47,50.31,22.7.1975,1146,Skalní stepi na vápensových podkladech,215,27,1,8,18
Bos mutus,14.75,50.75,23.7.2002,1111,mocaly,207,18,31,8,8
Merops bullockoides,17.17,51.03,16.2.1997,914,skály nižších a středních výšek,308,44,26,44,28
Aonyx capensis,18.17,49.29,1.8.1911,898,slatiny,217,13,22,16,15
Libellula quadrimaculata,13.99,49.17,31.7.1927,529,slatiny,217,26,10,15,25
Martes americana,14.81,50.99,17.6.1953,928,Skalní stepi na vápensových podkladech,215,21,23,40,3
Vulpes cinereoargenteus,13.57,49.43,9.9.1925,1081,biotop a,326,50,29,7,1
Equus burchelli,15.75,50.13,18.4.1974,1140,Skalní stepi na vápensových podkladech,215,14,25,9,10
Capreolus capreolus,14.43,48.87,24.2.1906,1045,biotop b,7,9,48,24,46
Macropus rufus,16.77,50.33,5.8.2010,726,xerotermni tentononc,310,45,50,31,13
Buteo galapagoensis,17.07,50.97,8.3.1904,993,les,301,14,16,44,22
Meleagris gallopavo,15.67,49.77,8.12.1916,725,skály nižších a středních výšek,308,26,34,31,40
Pavo cristatus,16.89,48.75,28.4.1939,697,louka,202,45,30,44,3
Dasypus novemcinctus,17.25,48.57,10.9.1918,873,louka,202,18,14,42,23
Psophia viridis,16.79,49.49,8.10.1902,561,doubravy,206,35,43,33,42
Potos flavus,13.15,50.23,19.1.1904,734,Skalní stepi na vápensových podkladech,215,43,38,8,48
Meleagris gallopavo,14.29,49.59,9.6.2008,1193,biotop a,326,13,33,23,45
Bubo sp.,17.21,48.77,20.6.1962,503,lidska obydli,200,48,17,6,17
Phalaropus fulicarius,16.83,51.07,16.2.1923,818,suťové lesy,327,10,1,2,50
Ephippiorhynchus mycteria,13.05,50.93,20.12.1997,1028,bazina,369,1,0,18,23
Anthropoides paradisea,13.51,49.15,14.9.1900,948,louka,202,12,5,9,10
Columba palumbus,13.61,50.39,4.8.2010,740,Skalní stepi na vápensových podkladech,215,11,24,40,40
Castor canadensis,17.35,49.05,24.9.1995,1109,lidska obydli,200,29,38,37,37
Cervus duvauceli,14.47,50.05,13.6.2007,981,Skalní stepi na vápensových podkladech,215,10,42,13,27
Equus burchelli,17.35,48.85,3.4.2006,769,xerotermni tentononc,310,14,49,43,42
Helogale undulata,18.49,50.41,19.4.1925,828,slatiny,217,17,46,28,6
Ceratotherium simum,13.37,48.91,31.10.1954,797,slatiny,217,33,24,37,38
Ciconia episcopus,14.65,50.17,21.11.1920,883,biotop b,7,3,22,42,21
Coluber constrictor,14.27,50.19,15.5.2006,704,doubravy,206,21,23,7,4
Ara ararauna,14.61,50.19,8.6.1981,774,suťové lesy,327,5,28,39,43
Haliaeetus leucoryphus,17.77,48.43,12.1.1990,1114,lidska obydli,200,24,22,11,47
Fulica cristata,18.17,49.59,24.8.1953,545,mocaly,207,29,33,33,7
Spermophilus armatus,17.63,50.93,6.4.1982,798,les,301,45,45,11,37
Semnopithecus entellus,14.13,48.65,3.10.1901,1192,lidska obydli,200,11,27,10,22
Anser anser,15.61,48.81,24.1.1938,834,doubravy,206,50,25,22,19
Ovis ammon,15.21,51.21,18.3.1946,855,bazina,369,0,8,10,3
Phalaropus fulicarius,14.11,49.73,11.10.1964,506,nahodny biotop,24,2,9,23,45
Sterna paradisaea,13.53,51.07,8.12.2002,924,les,301,19,42,12,34
Chlidonias leucopterus,15.97,49.85,15.1.1988,558,slatiny,217,46,37,33,49
Eumetopias jubatus,17.27,48.95,3.5.1935,732,Skalní stepi na vápensových podkladech,215,43,31,50,7
Boa caninus,18.73,50.01,25.9.1946,1182,skály nižších a středních výšek,308,3,31,36,31
Ceratotherium simum,12.69,49.09,8.3.1974,1078,lidska obydli,200,45,31,33,45
Chordeiles minor,14.87,48.81,24.10.1905,652,skály nižších a středních výšek,308,28,25,21,48
Kobus vardonii vardoni,17.41,49.61,7.12.1909,1006,skály nižších a středních výšek,308,7,21,35,37
Oryx gazella,17.49,48.79,5.11.2000,736,lidska obydli,200,31,26,36,43
Macropus agilis,12.95,48.97,8.5.1974,797,bazina,369,42,36,34,28
Bubalus arnee,13.69,50.61,15.4.2007,547,xerotermni tentononc,310,3,25,5,16
Manouria emys,18.13,50.61,6.6.1925,643,biotop a,326,19,0,22,28
Phoca vitulina,18.69,48.67,19.10.1940,791,lidska obydli,200,7,4,16,47
Laniarius ferrugineus,12.85,50.33,17.7.1980,993,louka,202,1,34,45,43
Canis mesomelas,12.99,50.35,26.6.1974,556,doubravy,206,12,14,0,3
Sarkidornis melanotos,16.31,50.69,27.6.1931,1103,xerotermni tentononc,310,15,2,1,27
Acanthaster planci,16.37,50.47,5.9.1966,786,xerotermni tentononc,310,13,43,4,1
Cacatua galerita,16.71,49.61,8.5.2011,1095,doubravy,206,15,46,12,7
Neophron percnopterus,14.95,50.71,6.4.1905,789,Skalní stepi na vápensových podkladech,215,2,22,14,26
Dendrocitta vagabunda,18.13,50.97,16.7.1933,1181,louka,202,11,42,31,21
Nucifraga columbiana,16.47,48.89,22.12.1906,583,doubravy,206,17,27,45,8
Ursus americanus,15.61,48.41,24.9.1916,995,biotop b,7,14,47,21,33
unavailable,17.07,50.97,17.3.1953,594,Skalní stepi na vápensových podkladech,215,4,31,45,13
Psittacula krameri,18.45,51.09,3.4.1933,1012,mocaly,207,4,46,41,43
Litrocranius walleri,16.53,51.15,10.3.2000,713,xerotermni tentononc,310,10,35,44,21
Melanerpes erythrocephalus,17.41,49.67,10.11.1954,597,xerotermni tentononc,310,35,37,30,21
Loxodonta africana,12.77,50.31,7.4.1943,571,slatiny,217,48,47,37,46
Phascolarctos cinereus,12.91,48.83,25.1.1991,1172,nahodny biotop,24,24,18,13,2
unavailable,13.77,51.03,6.5.2000,1186,mocaly,207,50,48,7,31
Actophilornis africanus,17.13,51.11,22.12.1915,1189,mocaly,207,18,17,42,21
Felis silvestris lybica,18.33,51.05,9.9.1933,985,suťové lesy,327,12,39,15,14
Felis wiedi or Leopardus weidi,12.51,48.45,5.3.2013,575,biotop b,7,35,4,44,39
Sylvilagus floridanus,17.85,49.11,30.4.1910,700,slatiny,217,27,3,21,10
Bassariscus astutus,13.51,50.69,28.6.1976,746,slatiny,217,1,21,44,23
Motacilla aguimp,15.91,50.33,26.8.2011,741,lidska obydli,200,29,10,29,10
Varanus salvator,13.35,49.95,20.8.1934,1091,Skalní stepi na vápensových podkladech,215,29,39,38,43
Stenella coeruleoalba,18.65,48.41,11.5.1929,735,bazina,369,50,36,36,26
Callorhinus ursinus,13.73,49.33,27.2.1936,835,biotop b,7,14,18,17,24
Ursus americanus,13.27,49.87,5.9.1927,1143,Skalní stepi na vápensových podkladech,215,42,33,4,25
unavailable,14.45,49.27,6.8.1994,758,bazina,369,1,41,44,2
Geochelone elephantopus,18.89,49.79,11.11.2000,522,skály nižších a středních výšek,308,29,38,6,48
Mirounga leonina,15.61,49.45,18.3.1988,752,slatiny,217,48,4,44,4
Theropithecus gelada,15.67,51.17,15.11.1972,1061,biotop a,326,2,45,32,1
Alcelaphus buselaphus cokii,18.65,50.73,22.12.1960,524,skály nižších a středních výšek,308,49,34,36,43
Mazama gouazoubira,12.87,49.73,4.3.1900,658,Skalní stepi na vápensových podkladech,215,37,25,47,21
unavailable,13.47,49.79,18.1.1957,951,mocaly,207,15,25,7,8
Sarkidornis melanotos,15.81,49.65,10.6.2009,653,louka,202,18,45,1,27
Plegadis ridgwayi,12.33,48.97,3.2.1920,1121,biotop a,326,19,2,17,12
Eolophus roseicapillus,13.29,49.89,27.2.1966,1055,lidska obydli,200,11,4,47,8
Pelecanus conspicillatus,16.95,50.41,20.10.1910,1034,skály nižších a středních výšek,308,37,40,35,32
Melophus lathami,14.05,49.95,15.12.1935,1048,biotop a,326,42,26,32,47
Lasiorhinus latifrons,16.77,48.73,20.3.1985,885,xerotermni tentononc,310,10,0,34,48
Merops sp.,15.27,50.17,6.10.1938,1082,biotop a,326,27,6,34,8
Paraxerus cepapi,14.65,49.85,19.4.1963,591,biotop a,326,38,21,21,32
Fulica cristata,16.15,50.07,17.9.1928,1029,mocaly,207,7,15,37,35
Callorhinus ursinus,17.23,49.59,19.3.2013,1081,slatiny,217,45,43,15,13
Mazama gouazoubira,12.07,49.01,8.1.1950,835,Skalní stepi na vápensových podkladech,215,3,24,27,41
Spheniscus magellanicus,14.11,48.59,13.3.1993,639,suťové lesy,327,33,20,31,22
Ephippiorhynchus mycteria,16.25,48.43,8.4.1919,611,bazina,369,37,32,16,50
